错误代码&提示	错误原因	解决办法	
00001：无法登陆，请检查用户名和口令	ETERM已连接到深圳凯亚的服务器，但用户名或者口令输入错误	检查用户名和口令输入的正确性，重新输入	
00007：无法登陆：认证错误，服务电话：0755-83432566	账号被禁用，无法使用	代理人用户是否欠费停机？请联系凯亚财务确认缴费情况或凯亚客服83432566查询具体原因	
10001：登陆失败：请检查用户名和口令，或认证类型	ETERM已连接到航信服务器，但用户名或者口令错，或者是否需要勾选“安全传输”	检查用户名和口令输入的正确性，重新输入，或者确认是否需要勾选“安全传输”项	
102 ERROR	无效的航班的到达时间，或者是FC项中输入的有效期不对，	检查航班的时间。一般主要是FC项中有效期的问题，删除或者不输入有效期后再尝试重新出票	
104 ERROR	除外航电子客票首航段不能为国内段	检查PNR中的航段是否符合要求	
118 ERROR	服务器响应超时	系统无法处理，就是系统发送的报文，对方系统收不到，或者拒收，可能是PNR中某些项格式错误致使对方系统拒收
如：1.FN中未含任何税，TEXEMPT免税标示也没有，系统拒绝。2.FC或EI超长或者包含非法字符。3.系统连接中断，请稍后重试。	
119 ERROR	PNR中存在非法的SSR TKNE项	检查PNR中是否有无效或者多余的SSR TKNE项，删除或者重新输入一遍再重试出票	
120 ERROR	没有找到匹配的航段	比较B/C两系统中的PNR航段项，看是否匹配，如不匹配则联系航信或者建议代理人XEPNR后重订。	
129 ERROR	没有找到匹配的B系统PNR	比较B/C两系统中的PNR，看状态是否相同，有可能C系统的PNR正常，而B系统中的PNR已经取消。需要重新订PNR	
153 ERROR	B、C系统PNR中的姓名不匹配	核对B/C两系统PNR中的姓名是否相符，然后根据国内、国际姓名更改规定来处理。	
154 ERROR	系统无法处理的报文格式		
155 ERROR	系统无法支持的报文		
260 ERROR	SQ出票失败	删除常旅客卡号ETRY成功后，重新输入常旅客卡号即可	
368 ERROR	代理人打票机配置信息错误造成国际电子客票出票失败	联系中航信，修改打票机配置的代理人信息，再重试出票。	
381 ERROR	缺少B系统PNR编码	查询小编码对应的大编码是否存在，如不存在或者大编码已经取消，则需要重新订新PNR	
394 ERROR	没有电子客票航班	确认航段是否为电子客票航班，是否有E标识，如果不确定最好联系航空公司咨询。	
395 ERROR	航段已经被打印	已经出成功票的PNR无法再次出票，核对报表及PNR里的相关信息是否正确，如创建了电子票面，但报表和编码还是显示失败则需要联系航信修改结算	
